BRANCH,Walker,Albany Park,Avalon,Brainerd,Portage-Cragin,Little Italy,Edgebrook,Kelly,Edgewater,North Austin,Canaryville,"Daley, Richard J.",Manning,Pullman,"Whitney M. Young, Jr.",Greater Grand Crossing,Sherman Park,Altgeld,West Lawn,Back of the Yards,Scottsdale,Garfield Ridge,King,Water Works,"Daley, Richard M.",Humboldt Park,Thurgood Marshall,Blackstone,North Pulaski,West Town,Budlong Woods,Lincoln Park,West Englewood,Archer Heights,Hegewisch,Independence,Lozano,Sulzer Regional Library,Chinatown,Douglass,Logan Square,Rogers Park,Galewood-Mont Clare,West Belmont,Bucktown-Wicker Park,Northtown,Merlo,West Pullman,Beverly,Legler Regional,Toman,Austin,Wrightwood-Ashburn,Jefferson Park,McKinley Park,South Shore,Clearing,Mount Greenwood,Uptown,Chicago Lawn,Harold Washtington Library Center,Brighton Park,West Chicago Avenue,Little Village,Lincoln Belmont,Gage Park,Oriole Park,Dunning,Bezazian,West Loop,Roden,Jeffery Manor,Hall,Near North,Coleman,Austin-Irving,Woodson Regional Library,Mayfair,Chicago Bee,Vodak-East Side,South Chicago
North Pulaski,7584.6,2379.9,7364.3,6500,1247.5,2595.8,3245.6,5389.1,3713.6,934.3,4384.9,3818.3,1858.6,8225.2,6721.8,6621.8,4978.1,9354.1,4220,4091.1,5292.1,4898,4455.3,2796.1,1039.1,927.9,5903.8,5653.5,0,1830.8,2935.8,2029.7,5162.2,3504.1,10418.5,1790.6,2897.7,2515.5,3520.1,1753.8,1105.6,3975,1728.2,1779.7,1308.5,3551.4,2617.2,7968.7,6726.3,1112.8,2296.8,1409,5997.5,2180.3,3513.6,6958,5339.1,7499.7,3025.6,4437.1,2980.9,3425.2,868,2290.9,2160.6,4065.8,3494,2542.1,3205.6,2307.7,3335,8506.5,5014.7,2493.2,6059,2103.5,7290.5,2008.1,4414.5,8063.7,8155
West Town,6697.1,2936.7,5835.2,5349,2694.2,1116.4,4366.3,3850,3254.7,2599.5,2845.8,2317.4,764,6686.1,5162.9,5092.7,3643.9,8181.4,4434.7,3049.8,5537.4,4924.5,2929.7,1190,939.3,1298.1,4631.4,4123.9,1849.5,0,3050.1,1332.3,4069.9,3530.6,8814.9,2508.6,1392,2206.7,1916.5,1657.5,1451.2,3554.4,3373.3,3280.9,775.1,3477.3,1978.2,6889.4,6018,1747.3,2323.3,2489.1,5351.9,3276.2,2209.6,5354.4,5365.6,6878.5,2432.1,3967.7,1377.3,2975.3,1978.1,1838.5,1712.7,3420.2,4722.4,3992.3,2672,724.1,4361.8,6902.9,3475.6,1005.3,4529.9,3352,5815.8,3059.6,2881.4,6524.6,6551.4
Budlong Woods,9252.3,664.2,8263.8,7904.2,2552.7,3921,2001,6405.2,997.3,3626.3,5401,4872.6,3273.4,9241.3,7621.3,7521.3,6199.1,10736.6,6582.7,5656,7654.8,7260.7,5354.8,3368.1,2837.2,2451.6,7186.6,6553,2908.8,3040.8,0,2114.9,6915.4,5866.8,11277.2,1466.6,4211.8,824.3,4499.5,3764.4,2121.5,1185.9,3929.1,3194.7,2399.3,762.3,2077.2,9444.6,8573.2,3685.3,4659.5,4152.5,7958.1,1839.3,4707.6,7816.7,7701.8,9484.7,1625.1,6573.9,3816.8,5353.5,3648.8,4199.1,1625.2,6026.4,3242.7,3605.6,1159,3464.5,2846,9365.2,6030.8,2942.7,6958.5,2635.7,8371,1367.9,5436.6,9079.8,9013.7
Lincoln Park,7338,2144.7,6361.2,5989.9,2400.3,2145,3781.9,4490.9,2066.9,2756.4,3486.7,2958.3,1719.1,7327,5718.7,5618.7,4284.8,8822.3,5463.3,4078.4,6566,5953.1,3452.2,1465.5,1879.1,1473.6,5272.3,4650.4,2043.2,1260.1,2116.9,0,5001.1,4559.2,9374.6,1898,2420.6,1273.5,2587.5,2765,1272.3,2355.2,3433.7,2987,873.8,2544.1,736.7,7530.3,6658.9,2702.4,3351.9,3282.6,6380.5,2863.9,3238.2,5914.1,6394.2,7916.2,1186.2,4996.3,1914.2,4003.9,2783.9,2867.1,632.8,4448.8,4310.1,3580,1484.2,1591.5,4032.7,7462.6,4116.5,939.7,5055.9,2939.7,6456.7,2430.6,3522.3,7165.5,7111.1
West Englewood,3040.3,6655.3,2714.5,1611.4,6366.9,3064.2,8062,910.5,6829.8,5824.3,1699.6,2085.5,3671.6,3447.9,2018.6,1972,886.3,4701.1,1415.4,1215.1,2229.6,3374.9,2623,4550.1,4230.3,4708.3,1051,2470.7,5174.8,4342.8,6886.4,4851.9,0,2111.3,5680.6,6227.2,2670.9,6043,2820.7,3442.5,5169.8,7118.1,6763.5,6808.8,4493.7,7313.6,5191.7,3315.7,2147.8,4186.8,3159.5,5223,2073.6,6971.9,1941.1,2694.7,2793.9,3276,5751.6,1010.5,3601.4,1952.3,5013.5,3004.7,5342.5,1121.1,8418.1,7571.2,6247.1,3682.5,8057.5,3864.7,1839.6,4465,1807.8,7132.6,2440.1,6755.3,2415.6,3286.2,3596
Archer Heights,4258.7,5519.6,4478.5,3405.8,4732.7,3214.4,6645.2,2486.8,6384.2,4190.1,2347.1,2467.2,3076.5,5231.6,3782.6,3736,1914.1,6259.9,771.8,1331.8,1843.9,1528.1,3204.7,4442.5,3074.2,3549,2809.6,3226.2,3519.6,3566.6,5975.5,4596.3,2066.4,0,7444.6,4932,2804.2,5290.9,2983.3,2108.9,4008,6638.6,4956.7,5148.9,3909.7,6591.1,5242.2,4874.5,3632.1,2567.1,1351.5,3588.8,2476,5575.2,1842,4458.7,1923.9,3724.3,5696.1,1120.1,3764,920.9,3379.3,1772.2,4796.9,1055.2,6788.6,5843.9,5833.8,3348.9,6725.5,5628.7,2599.1,4357.4,3291.3,5498.4,4223.8,5338.5,3063.1,5069.9,5360
Hegewisch,3603.8,11451.4,3095.6,4367.6,11250.6,8027.2,12922.7,5040.1,11373.6,11257.2,6086.8,6589,8719.2,2437.4,3815.1,3718.5,5783.7,1294.3,6742,6606.5,6501.1,8514.3,6183.7,8310.9,9644.4,9857.7,4854.3,5085,10433.8,8962.7,11423.6,9397.7,5713.7,7506.3,0,11065,7692.6,10580.2,7076.3,8942,10007.6,11661.9,12196.4,11837.3,9331.5,11850.8,9754.2,2941.1,4397.6,9637,8540.8,10655.9,5477.8,11832.6,7192.6,3586.6,7962.1,4099.1,10314.1,6431.2,7518,7323.3,10446.4,8295.2,9939.5,6517.3,13278.8,12548.7,10790.9,8302.4,12918.2,1846.6,5379.1,8601.1,4273.3,11908.4,3746.1,11616,6046.9,2884.2,2512.9
Independence,8807.9,818.1,7899.3,7459.8,1326.1,3330.6,2103.4,5960.8,2265.6,2436.3,4956.6,4428.2,2620.9,8796.9,7256.8,7156.8,5754.7,10292.2,5665,5014.2,6737.1,6343,4990.3,3099.4,1941.8,1556.2,6742.2,6188.5,1805.6,2450.4,1493.2,1882,6085.3,4949.1,10953.5,0,3624.8,1083.5,4055.1,2869,1236.1,2532.4,2754.6,1993,1717,2108.8,1935.4,9000.2,8128.8,2697.6,3741.8,2962.5,7030.4,1253.2,4120.6,7493,6784.1,8532.6,1757.8,5646.2,3515.9,4458.1,2547.4,3303.7,1478.8,5098.7,2656.6,2396.7,1765.1,2987.4,2383.9,9041.5,5586.4,2607.6,6594,1656.6,7926.6,746.4,4992.2,8635.4,8690
Lozano,5385,4085.4,4549.1,3999.5,3842.9,451,5515,2563.9,4244.2,3662.8,1559.7,993.1,1122.5,5400,3876.8,3806.6,2294.4,6895.3,3422,1884.5,4524.7,4180.8,1637.6,2039.6,2050,2397.5,3281.9,2831.8,2996.7,1505.6,4215.8,2321.8,2671.8,2739.2,7708.2,3657.3,0,3372.4,799.3,1388.3,2599.9,4720.1,4602,4429.6,1923.8,4643,2681.2,5577.3,4668.5,2036.9,1704.4,3061.5,4371.7,4424.9,1065.5,4247.7,4566.9,5574.1,3241.1,2955,1270.4,1962.6,2852,1168.5,2878.4,2407.5,5871.1,5141,3661.5,908,5510.5,5699.3,2189.5,1954.5,3243.8,4500.7,4465.3,4208.3,1589.3,5238.5,5444.7
Sulzer Regional Library,8418.6,948.4,7430.1,7070.5,2217.8,3087.3,2622.3,5571.5,1263.3,3244.3,4567.3,4038.9,2439.7,8407.6,6787.6,6687.6,5365.4,9902.9,6207.2,4822.3,7309.9,6700,4521.1,2534.4,2431.2,1996.2,6352.9,5719.3,2526.8,2207.1,933.5,1281.2,6081.7,5306.1,10443.5,1100,3378.1,0,3665.8,3369.8,1565.5,1524.6,3547.1,2884.7,1565.6,1360.7,1243.5,8610.9,7739.5,3290.7,4098.8,3770.5,7124.4,1742.4,3873.9,6983,7141.1,8651,845.8,5740.2,2983.1,4747.8,3266.8,3614,791.5,5192.7,3145.8,3281.1,764.5,2630.8,2873.1,8531.5,5197.1,2109,6124.8,2538.8,7537.3,1271,4602.9,8246.1,8180
